id	root	seyame	root_type
486	HGMWN>	0	bracketed
487	HGR	0	normal
488	HDJWV>	0	bracketed
489	HDM>	0	parethesied
490	HDR>	0	parethesied
491	HDRJWS	0	normal
492	HW	0	normal
493	HW	0	normal
494	HW>	0	normal
495	HWMN>WS	0	normal
496	HWN	0	normal
497	HWC<	0	normal
498	HW	0	parethesied
499	HJDJN	0	normal
500	HJKL	0	normal
501	HKWT	0	normal
502	HKJL	0	normal
503	HKN	0	normal
504	HL	0	parethesied
505	HLJ	0	normal
506	HLK	0	normal
507	HLS	0	normal
508	HM>	0	parethesied
509	HN	0	normal
510	HN>	0	normal
511	HPK	0	normal
512	HWPRKJ>	0	bracketed
513	HR	0	normal
514	HRWDJ>	0	normal
515	HRWDJWN	0	normal
516	HRWDS	0	normal
517	HRWDS	0	normal
518	HRWDS	0	normal
519	HRWM>	0	parethesied
520	HRK>	0	normal
521	HRM>	0	normal
522	HRM>	0	normal
523	HRMGNJS	0	normal
524	HRMJS	0	normal
525	HRSJS	0	bracketed
526	HRTMN	0	normal
527	HC>	0	normal
528	WJ	0	normal
529	WL>	0	normal
530	W<D	0	normal
531	Z>N>	0	normal
532	ZBDJ	0	normal
533	ZBWLWN	0	normal
534	ZBWR>	0	parethesied
535	ZBL	0	parethesied
536	ZBN	0	normal
537	ZBN>	0	parethesied
538	ZGWG>	0	parethesied
539	ZGR	0	normal
540	ZDWQ	0	normal
541	ZDWQJ>	0	normal
542	ZDQ	0	normal
543	ZHJ	0	normal
544	ZHR	0	normal
545	ZHR	0	normal
546	ZWG	0	normal
547	ZWD	0	normal
548	ZWZ>	0	normal
549	ZWX	0	parethesied
550	ZWJT>	0	parethesied
551	Z<	0	parethesied
552	ZWP>	0	parethesied
553	ZWRBBL	0	normal
554	ZXWRJT>	0	parethesied
555	ZVM	0	parethesied
556	ZJZN>	0	parethesied
557	ZN	0	parethesied
558	ZJT>	0	parethesied
559	ZK>	0	normal
560	ZKJ	0	normal
561	ZKRJ>	0	normal
562	ZKRJ>	0	normal
563	ZLG	0	normal
564	ZLHZ	0	normal
565	ZL<	0	normal
566	ZM	0	normal
567	ZMN	0	normal
568	ZMR	0	normal
569	ZMRGD>	0	bracketed
570	ZN>	0	parethesied
571	ZN>	0	normal
572	Z<P	0	normal
573	Z<Q	0	normal
574	Z<R	0	normal
575	ZQ>	0	parethesied
576	ZQP	0	normal
577	ZQR	0	normal
578	ZRX	0	normal
579	ZR<	0	normal
580	X>P>	0	parethesied
581	XR	0	parethesied
582	XB	0	normal
583	XBV	0	normal
584	XBR>	0	parethesied
585	XBL	0	normal
586	XBL	0	normal
587	XBL	0	parethesied
588	XBN	0	parethesied
589	XBY	0	normal
590	XBR	0	normal
591	XBC	0	normal
592	XGS	0	parethesied
593	XGR	0	normal
594	XD	0	normal
595	XDJ	0	normal
596	XDJ>	0	parethesied
597	XDR	0	normal
598	XDT	0	normal
599	XW>	0	normal
600	XW>	0	parethesied
601	XB	0	parethesied
602	XWBL>	0	parethesied
603	XV	0	parethesied
604	XWVR>	0	parethesied
605	XWJ>	0	parethesied
606	XL	0	parethesied
607	XS	0	parethesied
608	XY	0	parethesied
609	XR	0	parethesied
610	XWR	0	normal
611	XRWR>	0	parethesied
612	XZ>	0	normal
613	XZJR>	0	parethesied
614	XZQ	0	normal
615	XZQJ>	0	normal
616	MXV>	0	parethesied
617	XV>	0	normal
618	XVP	0	normal
619	XVT>	0	parethesied
620	XJ>	0	normal
621	XJL	0	normal
622	XKM	0	normal
623	XL	0	parethesied
624	XL>	0	parethesied
625	XLB>	0	parethesied
626	XLD	0	normal
627	XLWL>	0	parethesied
628	XLV	0	normal
629	XLJ	0	normal
630	XLM	0	normal
631	XLY	0	normal
632	XLM	0	normal
633	XLP	0	normal
634	XLPJ	0	normal
635	XLC>	0	parethesied
636	XM	0	normal
637	XM	0	normal
638	XM>	0	parethesied
639	XM>	0	normal
640	XMWR	0	normal
641	XML	0	normal
642	XMSN	0	normal
643	XM<	0	normal
644	XMY	0	normal
645	XMR>	0	parethesied
646	XMR>	0	parethesied
647	XMC	0	normal
648	XMT	0	normal
649	XN	0	normal
650	XN>	0	normal
651	XN>	0	normal
652	XNWK	0	normal
653	XNV	0	normal
654	XNN	0	normal
655	XNNJ>	0	normal
656	XNNJ>	0	normal
657	XNNJ>	0	normal
658	XNP	0	normal
659	XNQ	0	normal
660	>JVLJ>	0	normal
661	XSD	0	normal
662	XS>	0	normal
663	XSK	0	normal
664	XSLJ	0	normal
665	XSM	0	normal
666	XSN	0	normal
667	XSR	0	normal
668	XP>	0	normal
669	XPV	0	normal
670	XPR	0	normal
671	XY>	0	parethesied
672	XY>	0	normal
673	XYD	0	normal
674	XYP	0	normal
675	XYP>	0	parethesied
676	XYRWN	0	normal
677	XQL>	0	parethesied
678	XR>	0	parethesied
679	XRB	0	normal
680	XRB>	0	parethesied
681	XRDL>	0	parethesied
682	XRWB>	0	parethesied
683	XRM	0	normal
684	XRN	0	normal
685	XR<	0	parethesied
686	XRP	0	normal
687	XRQ	0	normal
688	XRC	0	normal
689	XRC>	0	parethesied
690	>XR	0	parethesied
691	XC	0	normal
692	XCB	0	normal
693	XCX	0	normal
694	XCK	0	normal
695	XCL	0	normal
696	XCM	0	normal
697	XTXT	0	normal
698	XTM	0	normal
699	XTN	0	parethesied
700	XTR	0	normal
701	V>B	0	normal
702	VB	0	normal
703	VWB	0	parethesied
704	VBJT>	0	normal
705	VB<	0	normal
706	VBRJWS	0	normal
707	VBRJWS	0	normal
708	VGR	0	normal
709	VHM	0	parethesied
710	VW>	0	normal
711	VWKJQWS	0	normal
712	VP	0	parethesied
713	VWPNDJWN	0	bracketed
714	VWPWNJQWS	0	bracketed
715	VWPS>	0	parethesied
716	VWR>	0	parethesied
717	VWRNWS	0	normal
718	VC	0	parethesied
719	VXN	0	normal
720	VVWS	0	normal
721	VVRRK>	0	bracketed
722	VJM>	0	bracketed
723	VJMWN	0	normal
724	VJMJ	0	normal
725	VJMT>WS	0	normal
726	VJN	0	parethesied
727	VJR>	0	parethesied
728	VJR>	0	parethesied
729	VK	0	normal
730	VKS	0	parethesied
731	VLJ>	0	parethesied
732	VL	0	normal
733	VLM	0	normal
734	VLQ	0	normal
735	VLR>	0	parethesied
736	VLC	0	normal
737	VM>	0	normal
738	VMR	0	normal
739	VN	0	normal
740	VNP	0	normal
741	V<>	0	normal
742	V<M	0	normal
743	V<N	0	normal
744	V<C	0	normal
745	VPVP	0	normal
746	VPR>	0	parethesied
747	VR>	0	normal
748	VRD	0	normal
749	VRW>WS	0	normal
750	VRWGLJWN	0	normal
751	VRWPJMWS	0	normal
752	VRWPN>	0	normal
753	VRWPS>	0	normal
754	VRVJWS	0	normal
755	VRVLWS	0	normal
756	VRKWN>	0	normal
757	VRSWS	0	normal
758	VRP	0	normal
759	VRP	0	normal
760	VC>	0	normal
761	J>B	0	normal
762	J>>	0	normal
763	J>NJ	0	normal
764	JBL	0	normal
765	JBC	0	normal
766	JD>	0	parethesied
767	JD<	0	normal
768	JHB	0	normal
769	JHWD	0	normal
770	JHWD>	0	normal
771	JHWD>	0	normal
772	JHWD>	0	normal
773	JHWD>	0	normal
774	JHWD>	0	normal
775	JHWD>	0	normal
776	JHWD>	0	normal
777	JHWD>	0	normal
778	JHWCPV	0	normal
779	JW>JL	0	normal
780	JW>RC	0	normal
781	JWD	0	normal
782	JWXN	0	normal
783	JWXNN	0	normal
784	JWXNN	0	normal
785	JWXNN	0	normal
786	JWXNN	0	normal
787	JWXNN	0	normal
788	JWKNJ>	0	normal
789	JWLJ>	0	normal
790	JWLJWS	0	normal
791	JWM	0	normal
792	JWN	0	parethesied
793	JWN>	0	parethesied
794	JWNJ>	0	normal
795	JWNM	0	normal
796	JWNN	0	normal
797	JWS>	0	normal
798	JWS>	0	normal
799	JWSVWS	0	normal
800	JWSP	0	normal
801	JWSP	0	normal
802	JWSP	0	normal
803	JWSP	0	normal
804	JWSP	0	normal
805	JWSP	0	normal
806	JWSP	0	normal
807	JWSP	0	normal
808	JWSP	0	normal
809	JWP>	0	normal
810	JWRDNN	0	normal
811	JWRM	0	normal
812	JWRM	0	normal
813	JWCJ>	0	normal
814	JWTM	0	normal
815	>JZBL	0	normal
816	JZP	0	normal
817	JXV	0	normal
818	JXD	0	parethesied
819	JLD	0	normal
820	JL	0	parethesied
821	JLP	0	normal
822	JM>	0	normal
823	JM>	0	parethesied
824	JM>-DSWP	0	normal
825	JMBRS	0	normal
826	JMN	0	parethesied
827	JNS	0	normal
828	JNQ	0	normal
829	JSP	0	parethesied
830	J<>	0	normal
831	J<N	0	normal
832	J<QWB	0	normal
833	J<QWB	0	normal
834	J<QWB	0	normal
835	J<QWB	0	normal
836	J<QWB	0	normal
837	J<QWB	0	normal
838	J<QWB	0	normal
839	JP>	0	parethesied
840	JYP	0	normal
841	JQD	0	normal
842	JWKNTWS	0	bracketed
843	JQR	0	normal
844	JRB	0	normal
845	JRD	0	normal
846	JRX	0	parethesied
847	JRK	0	normal
848	JRQ	0	normal
849	JRT	0	normal
850	JCW<	0	normal
851	JCW<	0	normal
852	JCW<	0	normal
853	JCV	0	parethesied
854	JCPH	0	normal
855	JTB	0	normal
856	JTM	0	parethesied
857	JTR	0	normal
858	K>	0	normal
859	K>>	0	normal
860	K>B	0	normal
861	K>P	0	parethesied
862	K>P>	0	normal
863	K>R	0	normal
864	KBD	0	parethesied
865	KBL	0	parethesied
866	KBR	0	normal
867	KBRJT>	0	parethesied
868	KBC	0	normal
869	KD	0	normal
870	KDB	0	normal
871	KDW	0	normal
872	KDN	0	normal
873	KHN	0	normal
874	KW>	0	normal
875	KWB>	0	parethesied
876	KWZ>	0	normal
877	KWL	0	parethesied
878	KWKB	0	parethesied
879	KWLJT>	0	parethesied
880	KWMR>	0	parethesied
881	KN	0	parethesied
882	KWR>	0	parethesied
883	KWR>	0	bracketed
884	KWRZJN	0	normal
885	KWRSJ>	0	parethesied
886	KWC	0	normal
887	KCP	0	normal
888	KWT>	0	parethesied
889	KXD	0	normal
890	KXL	0	normal
891	KJ	0	normal
892	KJWS	0	normal
893	KJL	0	normal
894	KJMWN>	0	bracketed
895	KJS	0	parethesied
896	KKR>	0	parethesied
897	KKRJT>	0	parethesied
898	KL	0	normal
899	KL>	0	normal
900	KL>>	0	normal
901	KLB	0	parethesied
902	KLDJ>	0	normal
903	KLJRK>	0	bracketed
904	KLMJS	0	bracketed
905	KLC	0	normal
906	KM>	0	normal
907	KMWN>	0	parethesied
908	KMN	0	normal
909	KMR	0	normal
910	KN	0	normal
911	KN<N	0	normal
912	KNP	0	parethesied
913	KNC	0	normal
914	KN>	0	parethesied
915	KS>	0	parethesied
916	KS>	0	normal
917	KS	0	normal
918	KSP	0	parethesied
919	KP	0	normal
920	KPN	0	normal
921	KPR	0	normal
922	KPR	0	normal
923	KPRNXWM	0	normal
924	KR	0	normal
925	KR>	0	normal
926	KRB	0	normal
927	KRH	0	normal
928	KRWB>	0	parethesied
929	KRZ	0	normal
930	KRWSPRS>	0	bracketed
931	KRVJS>	0	bracketed
932	KRK	0	normal
933	KRM	0	parethesied
934	KRS	0	parethesied
935	KRSVJN>	0	bracketed
936	KCL	0	normal
937	KTB	0	normal
938	KTM	0	normal
939	KTN>	0	parethesied
940	KTP>	0	parethesied
941	KTR	0	normal
942	KTC	0	normal
943	L	0	normal
944	L>	0	normal
945	L>>	0	normal
946	L>S>>	0	normal
947	LB	0	parethesied
948	LBWNT>	0	parethesied
949	LBJ	0	normal
950	LBK	0	normal
951	LBNJ>	0	normal
952	LBC	0	normal
953	LGJWN>	0	bracketed
954	LG>	0	parethesied
955	LDJQJ>	0	normal
