lexemesId	meaning	before	after	comment	ignore	verb_type	number	gender
210	Stachys				0	n/a	n/a	n/a
211	robe				0	n/a	n/a	n/a
237	bundle				0	n/a	n/a	n/a
213	Stephanas				0	n/a	n/a	n/a
214	Stephen				0	n/a	n/a	n/a
215	army				0	n/a	n/a	n/a
215	soldiery				0	n/a	n/a	n/a
215	band		of troops		0	n/a	n/a	n/a
216	prefect				0	n/a	n/a	n/a
216	praetor				0	n/a	n/a	n/a
217	soldier				0	n/a	n/a	n/a
218	luxury				0	n/a	n/a	n/a
218	wantonness				0	n/a	n/a	n/a
218	excess				0	n/a	n/a	n/a
219	Asia				0	n/a	n/a	n/a
220	heal				0	n/a	n/a	n/a
221	physician				0	n/a	n/a	n/a
222	healing				0	n/a	n/a	n/a
222	cure				0	n/a	n/a	n/a
223	school				0	n/a	n/a	n/a
223	lecture-hall				0	n/a	n/a	n/a
224	form				0	n/a	n/a	n/a
224	fashion				0	n/a	n/a	n/a
224	figure				0	n/a	n/a	n/a
225	store up				0	n/a	n/a	n/a
226	sponge				0	n/a	n/a	n/a
227	executioner				0	n/a	n/a	n/a
227	spy				0	n/a	n/a	n/a
227	scout				0	n/a	n/a	n/a
228	cohort				0	n/a	n/a	n/a
229	Spain				0	n/a	n/a	n/a
230	asp				0	n/a	n/a	n/a
230	snake	hooded			0	n/a	n/a	n/a
231	basket				0	n/a	n/a	n/a
232	bond				0	n/a	n/a	n/a
232	fetter				0	n/a	n/a	n/a
232	chain				0	n/a	n/a	n/a
233	bondage				0	n/a	n/a	n/a
233	captivity				0	n/a	n/a	n/a
234	prisoner				0	n/a	n/a	n/a
234	sergeant			(w/ *RB*)	1	n/a	n/a	n/a
235	bind				0	n/a	n/a	n/a
235	fasten				0	n/a	n/a	n/a
236	belt				0	n/a	n/a	n/a
236	girdle				0	n/a	n/a	n/a
236	zone				0	n/a	n/a	n/a
	half as				0	n/a	n/a	n/a
238	coin	a Roman copper			0	n/a	n/a	n/a
239	foundation				0	n/a	n/a	n/a
240	shekel				0	n/a	n/a	n/a
241	double				0	n/a	n/a	n/a
242	double				0	n/a	n/a	n/a
243	also				0	n/a	n/a	n/a
243	even				0	n/a	n/a	n/a
244	although				1	n/a	n/a	n/a
244	if	even			0	n/a	n/a	n/a
244	least	at			0	n/a	n/a	n/a
245	face				0	n/a	n/a	n/a
245	hypocrite			w/ &NoSeB&	0	n/a	n/a	n/a
245	presence-bread			w/ &LKeM&	0	n/a	n/a	n/a
246	ephod				0	n/a	n/a	n/a
247	Apollonia				0	n/a	n/a	n/a
248	Apphia				0	n/a	n/a	n/a
249	Appii Forum				0	n/a	n/a	n/a
249	The Market of Appius				0	n/a	n/a	n/a
250	guardian				0	n/a	n/a	n/a
250	tutor				0	n/a	n/a	n/a
251	bishop				0	n/a	n/a	n/a
251	overseer				0	n/a	n/a	n/a
252	Epicurus				0	n/a	n/a	n/a
252	Epicurean school	of the		&DMeN ;uOLI,oNeH DeAI;XoORoS&	0	n/a	n/a	n/a
253	Apelles				0	n/a	n/a	n/a
