Caesarea (text) 		http://syriaca.org/work/845
Caesarius (text) 		http://syriaca.org/work/1423
Cain and Abel (text) 		http://syriaca.org/work/1047
Cain and Abel (text) 		http://syriaca.org/work/938
Candida (text) 		http://syriaca.org/work/1143
Candida (text) 		http://syriaca.org/work/449
Capiton (text) 		http://syriaca.org/work/462
Carnidos (text) 		http://syriaca.org/work/543
Catalogue of the Seventy Disciples 		http://syriaca.org/work/2006
The Cause for the Commemoration of the Martyrs (text)		http://syriaca.org/work/1850
Charisios, Nicephorus, and Papias (text)		http://syriaca.org/work/372
The Children of Ephesus (or Sleepers) (text)		http://syriaca.org/work/563
The Children of Ephesus (Sleepers) (text)		http://syriaca.org/work/1929
The Children of Ephesus (Sleepers) (text)		http://syriaca.org/work/1053
The Children of Ephesus (text) 		http://syriaca.org/work/1151
The Children of Ephesus (text) 		http://syriaca.org/work/2018
The Children of Ephesus (text) 		http://syriaca.org/work/1246
Children of Ephesus (variation) (text)		http://syriaca.org/work/2035
The Children or Sleepers of Ephesus (text)		http://syriaca.org/work/250
Christine Yazdouy (text) 		http://syriaca.org/work/336
Christopher and His Companions (text) 		http://syriaca.org/work/1233
Chronios (text) 		http://syriaca.org/work/457
Clement (text) 		http://syriaca.org/work/1540
Clement (text) 		http://syriaca.org/work/1541
Clement (text) 		http://syriaca.org/work/2051
Clement (text) 		http://syriaca.org/work/1245
Clement (text) 		http://syriaca.org/work/1543
Clement (text) 		http://syriaca.org/work/1542
Clement (text) 		http://syriaca.org/work/368
Clement of Ankara (text) 		http://syriaca.org/work/1282
A Compassionate Monk of Ancyra (text) 		http://syriaca.org/work/454
Confessors (12 Memre) (text) 		http://syriaca.org/work/1801
Confessors (text) 		http://syriaca.org/work/615
Confessors (text) 		http://syriaca.org/work/1931
Confessors (text) 		http://syriaca.org/work/618
Confessors (text) 		http://syriaca.org/work/1137
Confessors (text) 		http://syriaca.org/work/616
Confessors (text) 		http://syriaca.org/work/1972
Confessors (text) 		http://syriaca.org/work/617
Confessors (text) 		http://syriaca.org/work/1874
Confessors (text) 		http://syriaca.org/work/614
Confessors and Martyrs (text) 		http://syriaca.org/work/947
Constantine, Emperor (text) 		http://syriaca.org/work/879
Constantine (text) 		http://syriaca.org/work/960
Constantine and Silvester (text) 		http://syriaca.org/work/1399
Constantine the Emperor (text) 		http://syriaca.org/work/1158
Constantine the Emperor (text) 		http://syriaca.org/work/1910
Constantine the Emperor and the Fathers of Nicea (text)		http://syriaca.org/work/1154
Copros and Patermoutis (text) 		http://syriaca.org/work/534
Cosmos and Damian (text) 		http://syriaca.org/work/376
Cosmos of Sinai (text) 		http://syriaca.org/work/512
Courtesan (text) 		http://syriaca.org/work/509
Courtesan (text) 		http://syriaca.org/work/510
Crescens (text) 		http://syriaca.org/work/1230
The Cross, Adam, and Eve (text) 		http://syriaca.org/work/1242
The Cross, Thief, and Baptism (text) 		http://syriaca.org/work/1915
Cross (Appearance to Constantine) (text)		http://syriaca.org/work/1762
The Cross (text) 		http://syriaca.org/work/1698
The Cross (text) 		http://syriaca.org/work/1906
The Cross (text) 		http://syriaca.org/work/2022
The Cross (text) 		http://syriaca.org/work/1380
The Cross (text) 		http://syriaca.org/work/1622
The Cross (text) 		http://syriaca.org/work/1707
The Cross (text) 		http://syriaca.org/work/1973
The Cross (text) 		http://syriaca.org/work/1663
The Cross (text) 		http://syriaca.org/work/1771
The Cross (text) 		http://syriaca.org/work/1523
The Cross (text) 		http://syriaca.org/work/1773
The Cross (text) 		http://syriaca.org/work/1664
The Cross (text) 		http://syriaca.org/work/1804
The Cross (text) 		http://syriaca.org/work/1379
The Cross (text) 		http://syriaca.org/work/1618
The Cross (text) 		http://syriaca.org/work/1718
The Cross (text) 		http://syriaca.org/work/1456
The Cross (text) 		http://syriaca.org/work/2000
The Cross (text) 		http://syriaca.org/work/1675
The Cross (text) 		http://syriaca.org/work/1107
The Cross (text) 		http://syriaca.org/work/1685
The Cross (text) 		http://syriaca.org/work/1853
The Cross (text) 		http://syriaca.org/work/1562
The Cross (text) 		http://syriaca.org/work/1563
The Cross (text) 		http://syriaca.org/work/1583
The Cross (text) 		http://syriaca.org/work/1772
The Cross (text) 		http://syriaca.org/work/1464
The Cross (text) 		http://syriaca.org/work/1809
The Cross (text) 		http://syriaca.org/work/1475
The Cross (text) 		http://syriaca.org/work/1717
The Cross (text) 		http://syriaca.org/work/1203
The Cross (text) 		http://syriaca.org/work/1700
The Cross (text) 		http://syriaca.org/work/1258
The Cross (text) 		http://syriaca.org/work/1902
The Cross (text) 		http://syriaca.org/work/1584
The Cross (text) 		http://syriaca.org/work/2003
The Cross (variant) (text) 		http://syriaca.org/work/1302
The Cross and Passion (text) 		http://syriaca.org/work/1449
The Cross and the thief (text) 		http://syriaca.org/work/1447
The Cross and the Thief (text) 		http://syriaca.org/work/1240
The Cross and the Thief (text) 		http://syriaca.org/work/1239
The Cross Narrative (How it was Thrown into a Pit by Jews) (text)		http://syriaca.org/work/299
The Cross Stolen by the Jews (text) 		http://syriaca.org/work/1930
Cyprian (text) 		http://syriaca.org/work/1426
Cyprian and Justa (text) 		http://syriaca.org/work/305
Cyprien and Justa (text) 		http://syriaca.org/work/1754
Cyriacus (text) 		http://syriaca.org/work/1579
Cyriacus (text) 		http://syriaca.org/work/1725
Cyriacus (text) 		http://syriaca.org/work/1580
Cyriacus and Julietta, his Mother (text)		http://syriaca.org/work/303
Cyriacus and Julietta (text) 		http://syriaca.org/work/1913
Cyriacus and Julietta (text) 		http://syriaca.org/work/1251
Cyriacus and Julietta (text) 		http://syriaca.org/work/1381
Cyriacus and Julietta (text) 		http://syriaca.org/work/1734
Cyriacus and Julietta (text) 		http://syriaca.org/work/1770
Cyriacus and Julietta (text) 		http://syriaca.org/work/1805
Cyriacus and Julietta (text) 		http://syriaca.org/work/1644
Cyriacus and Julietta (text) 		http://syriaca.org/work/1363
Cyriacus and Julietta (text) 		http://syriaca.org/work/1581
Cyriaque (text) 		http://syriaca.org/work/1731
Cyril of Alexandria (text) 		http://syriaca.org/work/1607
Cyril of Alexandria (text) 		http://syriaca.org/work/395
Cyril of Alexandria and Theodosius II (text)		http://syriaca.org/work/770
Cyrus of Harran (text) 		http://syriaca.org/work/1498
Daniel (text) 		http://syriaca.org/work/1304
Daniel and Eulogius (text) 		http://syriaca.org/work/1885
Daniel and Warda (text) 		http://syriaca.org/work/275
Daniel of Adiabene (text) 		http://syriaca.org/work/1099
Daniel of Galash (text) 		http://syriaca.org/work/1876
Daniel of Galash (text) 		http://syriaca.org/work/1068
Daniel of Mardin (text) 		http://syriaca.org/work/1117
Daniel of Scete (text) 		http://syriaca.org/work/1948
Daniel of Scete (text) 		http://syriaca.org/work/1922
Daniel of Scete (text) 		http://syriaca.org/work/1977
Daniel of Scetis (text) 		http://syriaca.org/work/1179
Daniel the Doctor (text) 		http://syriaca.org/work/1983
Daniel the Doctor (text) 		http://syriaca.org/work/310
A Daughter of the Covenant (text) 		http://syriaca.org/work/1385
Deacon (text) 		http://syriaca.org/work/504
The Dedication of the Cross (text) 		http://syriaca.org/work/1582
The Dedication of the Cross (text) 		http://syriaca.org/work/1561
The Dedication of the Cross (text) 		http://syriaca.org/work/1970
Denḥa I (text) 		http://syriaca.org/work/1069
Didymus (text) 		http://syriaca.org/work/409
Didymus (text) 		http://syriaca.org/work/632
Didymus (text) 		http://syriaca.org/work/542
Didymus (text) 		http://syriaca.org/work/631
Didymus (text) 		http://syriaca.org/work/630
Diocles (text) 		http://syriaca.org/work/461
Diodore (text) 		http://syriaca.org/work/877
Dionysius bar Salibi (text) 		http://syriaca.org/work/1616
Dionysius bar Salibi (text) 		http://syriaca.org/work/1479
Dionysius the Areopagite (notice) (text)		http://syriaca.org/work/1614
Dionysius the Areopagite (text) 		http://syriaca.org/work/1052
Dionysius the Areopagite (text) 		http://syriaca.org/work/1050
Dionysius the Areopagite (text) 		http://syriaca.org/work/389
Dionysius the Areopagite (text) 		http://syriaca.org/work/1642
Dionysius the Areopagite (Vision of Heliopolis) (text)		http://syriaca.org/work/1051
Dioscorus (text) 		http://syriaca.org/work/1608
Dioscorus (text) 		http://syriaca.org/work/1070
Dioscorus (text) 		http://syriaca.org/work/1071
Dioscorus (text) 		http://syriaca.org/work/1231
Dioscorus (text) 		http://syriaca.org/work/1555
Dioscorus (text) 		http://syriaca.org/work/533
A Disciple Killed by his Master (text)		http://syriaca.org/work/1315
Disciple of an Elder (text) 		http://syriaca.org/work/480
Disciple of an Elder of Scetis (text) 		http://syriaca.org/work/478
Disciple of an Elder of Scetis (text) 		http://syriaca.org/work/476
Disciple of a Solitary Elder (text) 		http://syriaca.org/work/477
The Discovery of the Cross (text) 		http://syriaca.org/work/1339
The Discovery of the Cross (text) 		http://syriaca.org/work/1373
Dodo (text) 		http://syriaca.org/work/338
Dometius (text) 		http://syriaca.org/work/1969
Dometius (text) 		http://syriaca.org/work/1817
Dometius (text) 		http://syriaca.org/work/862
Dometius (text) 		http://syriaca.org/work/1623
Dometius (text) 		http://syriaca.org/work/1505
Domitius (text) 		http://syriaca.org/work/398
Domninus (text) 		http://syriaca.org/work/240
Domnus (text) 		http://syriaca.org/work/1893
The Dormition of Mary the Mother of God (text)		http://syriaca.org/work/1169
Dorotheos (text) 		http://syriaca.org/work/460
Dorotheos (text) 		http://syriaca.org/work/625
Dorotheos (text) 		http://syriaca.org/work/626
