	ܩܫܝܫ	http://syriaca.org/person/2032
Apollo the Younger	ܐܦܠܘ	http://syriaca.org/person/1601
Apostles	ܫܠܝ̈ܚܐ	http://syriaca.org/person/1606
Apostles	[Syriac Not Available]	http://syriaca.org/person/1605
Apostles (72)	[Syriac Not Available]	http://syriaca.org/person/1608
Apphianus	ܐܦܝܢܘܣ	http://syriaca.org/person/1609
ʿAqebshma	[Syriac Not Available]	http://syriaca.org/person/1135
Aquilina	[Syriac Not Available]	http://syriaca.org/person/1136
Arcadius	ܐܪܩܕܝ	http://syriaca.org/person/1610
Archelaus	[Syriac Not Available]	http://syriaca.org/person/1137
Archelides	ܐܪܟܠܐܕܝܘܣ	http://syriaca.org/person/1611
a religious woman	[Syriac Not Available]	http://syriaca.org/person/2037
Ares	ܐܪܣ	http://syriaca.org/person/1612
Arethas	[Syriac Not Available]	http://syriaca.org/person/3016
Arrian	ܐܪܝܢܘܣ	http://syriaca.org/person/1613
Arsenius, king of Egypt	ܐܪܣܢܝܣ	http://syriaca.org/person/1614
a saint	[Syriac Not Available]	http://syriaca.org/person/2133
Aseneth	ܐܣܝܬ	http://syriaca.org/person/1615
Asia	ܐܣܝܐ	http://syriaca.org/person/1616
Athanasia	ܐܬܢܣܝܐ	http://syriaca.org/person/1618
Athanasius	[Syriac Not Available]	http://syriaca.org/person/1138
Athanasius, bishop of Alexandria	ܐܬܢܣܝܣ ܕܐܠܟܣܢܕܪܝܐ	http://syriaca.org/person/354
Qenneshrin	[Syriac Not Available]	http://syriaca.org/person/1140
Athanasius Sandalaya	[Syriac Not Available]	http://syriaca.org/person/1141
AthqenRabban	ܐܬܩܢ	http://syriaca.org/person/1142
Aurelius	ܐܘܪܠܝܣ	http://syriaca.org/person/1619
Awgin	ܡܪܝ ܐܘܓܝܢ	http://syriaca.org/person/356
Awida	[Syriac Not Available]	http://syriaca.org/person/1146
Azad	ܐܙܕ	http://syriaca.org/person/1620
Azad	[Syriac Not Available]	http://syriaca.org/person/1147
Azad	ܐܙܕ	http://syriaca.org/person/1148
ʿAzazaʾel	ܥܙܙܐܝܠ	http://syriaca.org/person/1150
Aziza	[Syriac Not Available]	http://syriaca.org/person/1149
ʿAziza	ܥܙܝܙܐ	http://syriaca.org/person/1531
Babai	[Syriac Not Available]	http://syriaca.org/person/1151
Babai of Nisibis	ܒܒܝ ܒܪ ܢܨ̈ܝܒܢܝܐ	http://syriaca.org/person/360
Babaithe Great	ܒܒܝ ܪܒܐ	http://syriaca.org/person/359
Baboi	ܒܒܘܝ	http://syriaca.org/person/1621
Babylas	ܒܒܘܠܐ	http://syriaca.org/person/1152
Bacchus	ܒܟܘܣ	http://syriaca.org/person/1153
Badai the Priest	ܒܕܝ	http://syriaca.org/person/1154
Badma	ܒܕܡܐ	http://syriaca.org/person/1155
Barbara	[Syriac Not Available]	http://syriaca.org/person/1156
Barbara	ܒܪܒܪܐ	http://syriaca.org/person/1624
Barbaʿshmin	ܒܪܒܥܫܡܝܢ	http://syriaca.org/person/1157
Barbʿashmin	[Syriac Not Available]	http://syriaca.org/person/1158
Barhadbshabba	ܒܪܚܕܒܫܒܐ	http://syriaca.org/person/1159
Barhadbshabba	ܒܪܚܕܒܫܒܐ	http://syriaca.org/person/1625
