	ܩܫܝܫ	http://syriaca.org/person/2032
Muʿawiya	[Syriac Not Available]	http://syriaca.org/person/1389
Nagran, martyrs of	[Syriac Not Available]	http://syriaca.org/person/1391
Narsai	ܢܪܣܝ	http://syriaca.org/person/650
Narsai, bishop of Sharqart	[Syriac Not Available]	http://syriaca.org/person/1392
Narsai, son of the covenant	ܢܪܣܝ	http://syriaca.org/person/1393
Narses	ܢܪܣܝ	http://syriaca.org/person/1941
Narses	ܢܪܣܝ	http://syriaca.org/person/1940
Nathaniel	ܢܬܢܝܐܝܠ	http://syriaca.org/person/1942
Nestorius	ܢܣܛܘܪܝܣ	http://syriaca.org/person/655
Nicephorus	ܢܝܩܦܘܪܘܣ	http://syriaca.org/person/1945
Nicephorus	ܢܝܩܦܘܪܘܣ	http://syriaca.org/person/1944
Nicholas	[Syriac Not Available]	http://syriaca.org/person/1395
Nicholas of Myra	ܢܝܩܠܐܘܣ	http://syriaca.org/person/1946
Nilus	ܢܝܠܘܣ	http://syriaca.org/person/3043
Nilus the Anchorite	ܢܝܠܘܣ	http://syriaca.org/person/1948
Noah	ܢܘܚ	http://syriaca.org/person/3022
Noah of Adiabene	ܢܘܚ	http://syriaca.org/person/1949
Nuhra	[Syriac Not Available]	http://syriaca.org/person/1396
Olympia	ܐܠܘܡܦܝܐ	http://syriaca.org/person/1397
Onesima	ܐܢܣܝܡܐ	http://syriaca.org/person/1398
Onesimus	[Syriac Not Available]	http://syriaca.org/person/3015
Onesimus	ܐܢܣܝܡܘܣ	http://syriaca.org/person/1950
Or	ܐܘܪ	http://syriaca.org/person/1951
Othellius	[Syriac Not Available]	http://syriaca.org/person/1953
Pachomius	ܦܟܘܡܝܣ	http://syriaca.org/person/1955
Paesius	ܦܐܣܝܣ	http://syriaca.org/person/1956
Pamphilus	ܦܡܦܝܠܘܣ	http://syriaca.org/person/1958
Panbo	ܦܢܒܘ	http://syriaca.org/person/1959
Papa	ܦܦܐ	http://syriaca.org/person/1960
Papa	ܦܦܐ	http://syriaca.org/person/1961
Papa, bishop of Arzun	[Syriac Not Available]	http://syriaca.org/person/1400
Paphnutius	ܦܦܢܘܛ	http://syriaca.org/person/1962
Papias	ܦܦܝܘܣ	http://syriaca.org/person/1964
Pappas	ܦܦܘܣ	http://syriaca.org/person/1965
Paradise of the Fathers	[Syriac Not Available]	http://syriaca.org/person/1992
Paragros	ܦܪܓܪܘܣ	http://syriaca.org/person/1966
Patriarches of the Orient (catholicos)	[Syriac Not Available]	http://syriaca.org/person/1970
Patriarchs, Prophets, Apostles and Fathers	[Syriac Not Available]	http://syriaca.org/person/1972
Patriarchs and Prophets	[Syriac Not Available]	http://syriaca.org/person/1971
Patricius	ܦܜܪܝܩܝܘܣ	http://syriaca.org/person/1973
Patrimytheas	ܦܛܪܝܡܝܬܐܣ	http://syriaca.org/person/3044
Patrmoutis	ܦܛܪܡܘܛܝܣ	http://syriaca.org/person/1968
Paul	ܦܘܠܘܣ	http://syriaca.org/person/1990
Paul	ܦܘܠܘܣ	http://syriaca.org/person/3148
Paul	ܦܘܠܘܣ	http://syriaca.org/person/1987
Paul	ܦܘܠܘܣ	http://syriaca.org/person/1978
Paul	ܦܘܠܐ	http://syriaca.org/person/1974
Paul, patriarch of Antioch	ܦܘܠܘܣ	http://syriaca.org/person/1977
Paul of Antioch	ܦܘܠܘܣ	http://syriaca.org/person/1976
Paul of Edessa	ܦܘܠܘܣ	http://syriaca.org/person/1405
Paul of Sophene	ܦܘܠܐ ܐܒܝܠܐ ܢܙܝܪܐ ܕܡܢ ܐܬܪܐ ܕܨܘ̈ܦܢܝܐ	http://syriaca.org/person/1979
Paul the Apostle	ܦܘܠܘܣ	http://syriaca.org/person/1983
Paul the Hermit	ܦܘܠܘܣ	http://syriaca.org/person/1981
Paul the Interpreter	[Syriac Not Available]	http://syriaca.org/person/1406
Paul the Mourner	ܦܘܠܘܣ ܐܒܝܠܐ	http://syriaca.org/person/1980
Paul the Priest	ܦܘܠܘܣ	http://syriaca.org/person/1986
Paul the Priest	ܦܘܠܘܣ	http://syriaca.org/person/1985
Paul the Simple	ܦܘܠܐ	http://syriaca.org/person/1982
Pegasius	[Syriac Not Available]	http://syriaca.org/person/1407
Pelagia	ܦܠܓܝܐ	http://syriaca.org/person/1989
Penitent Courtesan	ܙܢܝܬܐ	http://syriaca.org/person/1658
Peqida of Adiabene	ܦܩܝܕܐ	http://syriaca.org/person/1991
Peroz of Beth Lapat	[Syriac Not Available]	http://syriaca.org/person/1408
Peter	ܦܛܪܘܣ	http://syriaca.org/person/2011
Peter	ܦܛܪܘܣ	http://syriaca.org/person/2005
Peter	ܦܛܪܐ	http://syriaca.org/person/2004
Peter Absolom	ܦܛܪܘܣ ܥܒܫܠܡܐ	http://syriaca.org/person/2006
Peter of Africa	[Syriac Not Available]	http://syriaca.org/person/2007
Peter of Alexandria	[Syriac Not Available]	http://syriaca.org/person/1413
Peter of Antioch	[Syriac Not Available]	http://syriaca.org/person/1414
Peterof Kallinikos	ܦܛܪܘܣ ܏ܓ ܩܠܘܢܝܩܝܐ	http://syriaca.org/person/75
Peter Syncellus	ܦܐܛܪܐ	http://syriaca.org/person/2013
Peter the Apostle	ܦܛܪܘܣ	http://syriaca.org/person/2008
Peter the Iberian	ܦܛܪܘܣ ܐܝܒܪܝܐ	http://syriaca.org/person/680
Peter the Publican	[Syriac Not Available]	http://syriaca.org/person/2012
Pethion	ܦܬܝܘܢ	http://syriaca.org/person/1409
Pethion	ܦܬܝܘܢ	http://syriaca.org/person/1410
Pethion of Dasen	[Syriac Not Available]	http://syriaca.org/person/1411
Pharkia	[Syriac Not Available]	http://syriaca.org/person/1412
Philemon	ܦܝܠܝܡܘܢ	http://syriaca.org/person/1996
Philemon	ܦܝܠܡܘܢ	http://syriaca.org/person/1997
Philip	ܦܝܠܝܦܘܣ	http://syriaca.org/person/1998
Philotheus	ܦܝܠܬܐܘܣ	http://syriaca.org/person/2000
Philoxenos of Mabbug	ܦܝܠܠܘܟܣܝܢܘܣ ܕܡܒܘܓ	http://syriaca.org/person/44
Phocas	ܦܘܩܐ	http://syriaca.org/person/3009
Phocas of Sinope	ܦܘܩܐ	http://syriaca.org/person/2002
Photius	ܦܘܛܝܣ	http://syriaca.org/person/3014
Piamon	ܦܝܐܡܘܢ	http://syriaca.org/person/2003
Pijimi	[Syriac Not Available]	http://syriaca.org/person/1622
Piminos	ܦܝܡܝܢܘܣ	http://syriaca.org/person/2014
Pinhas	ܦܝܢܚܣ	http://syriaca.org/person/1415
Pior	ܦܝܘܪ	http://syriaca.org/person/2015
Piroz	ܦܝܪܘܙ ܒܝܠܦܛܝܐ	http://syriaca.org/person/1736
Pistis	ܦܝܣܛܝܣ	http://syriaca.org/person/2016
Pithyrion	ܦܝܛܘܪܝܘܢ	http://syriaca.org/person/2017
Placidus (Eustathius)	ܐܘܣܛܬܝܣ ܦܠܩܝܕܘܣ	http://syriaca.org/person/2018
Plato	[Syriac Not Available]	http://syriaca.org/person/1416
Plesius	ܦܠܣܝܣ	http://syriaca.org/person/2019
Polutina	ܦܠܘܛܝܢܐ	http://syriaca.org/person/1957
Polycarp of Smyrna	ܦܘܠܝܩܪܦܘܣ	http://syriaca.org/person/2020
Polychronus	[Syriac Not Available]	http://syriaca.org/person/1417
Porphyry	ܦܪܦܝܪܣ	http://syriaca.org/person/3149
Porphyry of Antioch	ܦܘܪܦܘܪܝܘܣ	http://syriaca.org/person/2021
Posi	ܦܘܣܝ	http://syriaca.org/person/1418
Posidonios	ܦܘܣܝܕܘܢܝܘܢ	http://syriaca.org/person/2022
Primus	ܦܪܝܡܘܣ	http://syriaca.org/person/2023
Priscus	ܦܪܝܣܩܘܣ	http://syriaca.org/person/2024
Probus	ܦܪܘܒܘܣ	http://syriaca.org/person/2025
Procopius	ܦܪܘܩܘܦܝܘܣ	http://syriaca.org/person/2027
Procopius	ܦܪܘܩܘܦܝܘܣ	http://syriaca.org/person/2026
Prophets	[Syriac Not Available]	http://syriaca.org/person/2028
Prophets	ܢ̈ܒܝܐ	http://syriaca.org/person/2029
Prophets, Patriarchs, Fathers	[Syriac Not Available]	http://syriaca.org/person/2030
Protonice	[Syriac Not Available]	http://syriaca.org/person/1419
Pseudo-Dionysios the Areopagite	ܕܝܘܢܘܣܝܘܣ	http://syriaca.org/person/452
Pseudo-Methodius	[Syriac Not Available]	http://syriaca.org/person/635
Ptolemy the Egyptian	ܦܛܘܠܘܡܐܘܣ	http://syriaca.org/person/2031
Qardag	ܩܪܕܓ	http://syriaca.org/person/1420
Qashish of Hah	[Syriac Not Available]	http://syriaca.org/person/1421
Qawma	[Syriac Not Available]	http://syriaca.org/person/1423
Qawma	[Syriac Not Available]	http://syriaca.org/person/1422
Qayyuma of Baz	[Syriac Not Available]	http://syriaca.org/person/1424
Qazo	[Syriac Not Available]	http://syriaca.org/person/1425
Qazo	ܩܙܘ	http://syriaca.org/person/3026
Qitmir, dog of the Sleepers of Ephesus	[Syriac Not Available]	http://syriaca.org/person/3018
Qorabor	ܩܘܪܒܘܪ	http://syriaca.org/person/2033
Quna	[Syriac Not Available]	http://syriaca.org/person/1426
Rabbulaof Edessa	ܪܒܘܠܐ ܕܐܘܪܗܝ	http://syriaca.org/person/26
Refugees of Constantinople	[Syriac Not Available]	http://syriaca.org/person/2035
Rehima of Adiabene	ܪܚܝܡܐ	http://syriaca.org/person/2036
Rhipsime	[Syriac Not Available]	http://syriaca.org/person/1427
Rich virgin	[Syriac Not Available]	http://syriaca.org/person/2148
Rifqa Rayyis	[Syriac Not Available]	http://syriaca.org/person/1428
Romanus	ܪܘܡܢܐ	http://syriaca.org/person/2743
Romanus	ܪܘܡܢܐ	http://syriaca.org/person/2040
Romanus	ܪܘܡܢܐ	http://syriaca.org/person/2041
Romanus	ܪܘܡܐܢܘܣ	http://syriaca.org/person/1430
Romanus	ܪܘܡܢܘܣ	http://syriaca.org/person/2039
Romulus	ܪܘܡܘܠܘܣ	http://syriaca.org/person/2042
Romulus	ܐܪܡܠܐܘܣ	http://syriaca.org/person/2043
Ruben	[Syriac Not Available]	http://syriaca.org/person/1431
Rubil	ܪܘܒܝܠ	http://syriaca.org/person/1432
Ruhana the Melodist	[Syriac Not Available]	http://syriaca.org/person/1433
Sa'ad	[Syriac Not Available]	http://syriaca.org/person/1434
Saba	ܣܒܐ	http://syriaca.org/person/2045
Saba Gushnazdad	ܣܒܐ ܓܘܫܢܙܕܕ	http://syriaca.org/person/2044
Saba Gushnazdad	[Syriac Not Available]	http://syriaca.org/person/1435
Saba of the Tour Mesatha	ܣܒܐ	http://syriaca.org/person/2046
Saba Pirgushnasp	ܣܒܐ ܦܝܪܓܘܫܢܣܦ	http://syriaca.org/person/1436
Sabas	ܣܒܛ	http://syriaca.org/person/2048
Saba the Martyr	ܣܒܐ	http://syriaca.org/person/2047
Sabbatius	[Syriac Not Available]	http://syriaca.org/person/1437
Sabellius	ܣܒܠܝܐ	http://syriaca.org/person/1438
Sabinius	ܣܒܝܢܝܢܘܣ	http://syriaca.org/person/2049
Sabrishoʿ	[Syriac Not Available]	http://syriaca.org/person/1457
Sabrishoʿmetropolitan of Beth Garmai	ܣܒܪܝܫܘܥ ܕ ܒܝܬ ܓܪ̈ܡܝ	http://syriaca.org/person/3138
Sabrishoʿ bar Paulos	ܣܒܪܝܫܘܥ ܒܪ ܦܘܠܘܣ	http://syriaca.org/person/709
Sabrishoʿ of Beth Qoqa	ܣܒܪܝܫܘܥ	http://syriaca.org/person/2050
Sahda	ܣܗܕܐ ܡܪܝ ܕܒܝܬ ܣܗ̈ܕܐ	http://syriaca.org/person/2051
Saint (one who spent 25 years in a cave)	[Syriac Not Available]	http://syriaca.org/person/2054
Saints	[Syriac Not Available]	http://syriaca.org/person/2056
Saints (revelation of cerntain)	[Syriac Not Available]	http://syriaca.org/person/2057
Saints of Hrbat Tuta, see John Psaltes (check)	[Syriac Not Available]	http://syriaca.org/person/1442
Saints of the Monastery of Mar Abhai	[Syriac Not Available]	http://syriaca.org/person/1441
Salomon	ܫܠܝܡܘܢ	http://syriaca.org/person/2060
Sampson	ܫܡܫܘܢ	http://syriaca.org/person/2061
Sampson of Adiabene	ܫܡܫܘܢ	http://syriaca.org/person/2062
Samuel of Qartmin	[Syriac Not Available]	http://syriaca.org/person/1445
Sanatruq	[Syriac Not Available]	http://syriaca.org/person/1446
Sara	ܣܪܐ	http://syriaca.org/person/2063
Sarah	[Syriac Not Available]	http://syriaca.org/person/1451
Sarah	[Syriac Not Available]	http://syriaca.org/person/1452
Sasin, bishop of Cyzicus	[Syriac Not Available]	http://syriaca.org/person/1455
SaumaRabban	ܪܒܢ ܨܘܡܐ	http://syriaca.org/person/721
Seleucus	ܣܠܘܩܘܣ	http://syriaca.org/person/1460
Seleucus	ܣܠܘܩܘܣ	http://syriaca.org/person/3147
Sennen	[Syriac Not Available]	http://syriaca.org/person/1461
Serapion	ܣܪܦܝܘܢ	http://syriaca.org/person/2066
Serapion	ܣܪܦܝܘܢ	http://syriaca.org/person/2065
Serapion Sidonius	ܣܪܦܝܘܢ ܕܣܕܘܢܐ	http://syriaca.org/person/2067
Sergius	ܣܪܓܝܣ	http://syriaca.org/person/2070
Sergius	ܣܪܓܝܣ	http://syriaca.org/person/2072
Sergius	ܣܐܪܓܝܣ	http://syriaca.org/person/2068
Sergius	ܣܪܓܝܣ	http://syriaca.org/person/2071
Sergius	ܣܪܓܝܣ	http://syriaca.org/person/2069
Sergius	ܣܪܓܝܣ	http://syriaca.org/person/1466
Sergius	ܣܪܓܝܣ	http://syriaca.org/person/3154
SergiusRabban	ܪܒܢ ܣܪܓܝܣ	http://syriaca.org/person/2034
Sergius of Huzri	[Syriac Not Available]	http://syriaca.org/person/1462
Sergius of Tella	[Syriac Not Available]	http://syriaca.org/person/1463
Sergius of the Barren Mountain	[Syriac Not Available]	http://syriaca.org/person/1464
Sergius of Zuqnin	[Syriac Not Available]	http://syriaca.org/person/1465
The Seven Children of Beth Zabdai	ܒܢ̈ܝ ܫܒܝܐ ܕܒܝܬ ܙܒܕܝ	http://syriaca.org/person/1894
Severusbar Mashqo	ܣܘܝܪܐ ܕܬܪܝܢ	http://syriaca.org/person/106
Severus of Antioch	ܣܘܝܪܝܘܣ ܕܐܢܛܝܘܟܝܐ	http://syriaca.org/person/51
Severus of Kafar Ze	[Syriac Not Available]	http://syriaca.org/person/1468
Severus the Mathematician	[Syriac Not Available]	http://syriaca.org/person/1469
Severus the Wonderworker	[Syriac Not Available]	http://syriaca.org/person/1467
Shabbai	ܫܒܝ	http://syriaca.org/person/2073
Shabra	[Syriac Not Available]	http://syriaca.org/person/1439
Shahdost	ܫܗܕܘܣܬ	http://syriaca.org/person/2074
Shahloupa of Adiabene	ܫܚܠܘܦܐ	http://syriaca.org/person/2075
Shahpur	ܫܒܘܪ	http://syriaca.org/person/2076
Shalita	ܡܪܝ ܫܠܝܛܐ	http://syriaca.org/person/733
Shalita	[Syriac Not Available]	http://syriaca.org/person/1443
Shamli	[Syriac Not Available]	http://syriaca.org/person/2077
Shamona	ܫܡܘܢܐ	http://syriaca.org/person/2078
Shamuni, mother of the Seven Maccabean Martyrs	[Syriac Not Available]	http://syriaca.org/person/2080
Shapira	[Syriac Not Available]	http://syriaca.org/person/1447
Shapor	[Syriac Not Available]	http://syriaca.org/person/1448
Shapor, bishop of Niqator	ܫܒܘܪ	http://syriaca.org/person/1450
Sharbel	ܫܪܒܝܠ	http://syriaca.org/person/1454
Sharbel the Hermit	[Syriac Not Available]	http://syriaca.org/person/1453
Shayna	[Syriac Not Available]	http://syriaca.org/person/1459
Shembaiteh	ܫܡܒܝܬܗ	http://syriaca.org/person/1643
Shenoute	ܫܢܘܕܝܢ	http://syriaca.org/person/2079
Shenoute of Atripe	[Syriac Not Available]	http://syriaca.org/person/1487
Shirin	[Syriac Not Available]	http://syriaca.org/person/1483
Shirin of Karka d-Beth Slokh	[Syriac Not Available]	http://syriaca.org/person/1484
Shiris	[Syriac Not Available]	http://syriaca.org/person/3153
Shlemun the Mourner	[Syriac Not Available]	http://syriaca.org/person/1485
Shmona	ܫܡܘܢܐ	http://syriaca.org/person/1486
Shmouni	ܫܡܘܢܝ	http://syriaca.org/person/2081
Shoubhalishoʿ	ܫܘܒܚܐ ܠܝܫܘܥ	http://syriaca.org/person/2083
Shoubhalishoʿ of Adiabene	ܫܘܒܚܐ ܠܝܫܘܥ	http://syriaca.org/person/2082
Shriʿa of Adiabene	ܫܪܝܥܐ	http://syriaca.org/person/2084
Silvanus	ܣܠܘܢܘܣ ܘܗܢܘܢ ܕܥܡܗ	http://syriaca.org/person/2085
Silvanus of Edessa	[Syriac Not Available]	http://syriaca.org/person/1470
Silvester	ܣܝܠܒܣܛܪܘܣ	http://syriaca.org/person/2086
Simeon	ܫܡܥܘܢ ܕܙܝ̈ܬܐ	http://syriaca.org/person/1473
Simeon	ܫܡܥܘܢ	http://syriaca.org/person/2095
Simeon	ܫܡܥܘܢ	http://syriaca.org/person/2093
Simeon	ܫܡܥܘܢ	http://syriaca.org/person/2094
Simeon	ܫܡܥܘܢ	http://syriaca.org/person/1474
Simeon, bishop of Edessa	[Syriac Not Available]	http://syriaca.org/person/1472
Simeonbar Sabbaʿe	ܫܡܥܘܢ ܒܪ ܨܒܥ̈ܐ	http://syriaca.org/person/9
Simeon of Beth Arsham	ܫܡܥܘܢ ܕܒܝܬ ܐܪܫܡ	http://syriaca.org/person/53
Simeon of Dara	[Syriac Not Available]	http://syriaca.org/person/1476
Simeon of Kfar-ʿAbdin	ܫܡܥܘܢ	http://syriaca.org/person/1471
Simeon of Oigona	[Syriac Not Available]	http://syriaca.org/person/1480
Simeon of Papo	[Syriac Not Available]	http://syriaca.org/person/1477
Simeon of Qarqafto	[Syriac Not Available]	http://syriaca.org/person/1481
Simeon of Qartmin	ܫܡܥܘܢ	http://syriaca.org/person/1475
Simeon of the Sea	[Syriac Not Available]	http://syriaca.org/person/1479
Simeon Salos	ܫܡܥܘܢ ܣܠܘܣܐ	http://syriaca.org/person/2101
Simeon the Elder	ܫܡܥܘܢ	http://syriaca.org/person/2100
Simeon the Greek	[Syriac Not Available]	http://syriaca.org/person/1478
Simeon the Mountaineer	ܫܡܥܘܢ ܛܘܪܝܐ	http://syriaca.org/person/2097
Simeon the Scribe	ܫܡܥܘܢ ܟܬܘܒܐ	http://syriaca.org/person/2098
Simeon the Solitaire	ܫܡܥܘܢ ܝܚܝܕܝܐ	http://syriaca.org/person/2099
Simeon the Stylite	ܫܡܥܘܢ ܐܣܛܘܢܝܐ	http://syriaca.org/person/744
Simeon the Stylite, the younger	[Syriac Not Available]	http://syriaca.org/person/1482
Sinai the Deacon	ܣܝܢܝ	http://syriaca.org/person/3031
Sisinnius	ܣܝܣܝܢܘܣ	http://syriaca.org/person/2087
Sleepers of Ephesus	[Syriac Not Available]	http://syriaca.org/person/1227
The Sophenian	[Syriac Not Available]	http://syriaca.org/person/1488
Sophia	ܣܘܦܝܐ	http://syriaca.org/person/2089
Sophia	ܣܘܦܝܐ	http://syriaca.org/person/1489
Sosiana	ܣܘܣܝܢܐ	http://syriaca.org/person/3020
Stephen	ܐܣܛܦܢܘܣ	http://syriaca.org/person/1229
Stephen	ܐܣܛܦܢܘܣ	http://syriaca.org/person/1710
Stephen	ܐܣܛܦܢܐ	http://syriaca.org/person/3010
Stephen	ܐܣܛܦܢܐ	http://syriaca.org/person/1709
Stephen the Protomartyr	ܐܣܛܝܦܐܢ	http://syriaca.org/person/1711
Steven	[Syriac Not Available]	http://syriaca.org/person/1230
Stratonike	ܐܣܛܪܛܘܢܝܩܝ	http://syriaca.org/person/1491
Stratonike	[Syriac Not Available]	http://syriaca.org/person/1490
Sultan Mahduk	ܨܘܠܛܢ ܡܗܕܘܟ	http://syriaca.org/person/1348
Susan	ܫܘܫܢ	http://syriaca.org/person/1168
Suzanna	ܫܘܫܢ	http://syriaca.org/person/2092
Suzanna	[Syriac Not Available]	http://syriaca.org/person/1492
Syrian Doctors	ܡܠܦܢܐ ܣܘܪܝܝܐ	http://syriaca.org/person/1212
Tahmazgerd	ܛܗܡܙܓܪܕ	http://syriaca.org/person/1493
Tahsia	ܛܗܣܝܐ	http://syriaca.org/person/2102
Talia	ܛܠܝܐ	http://syriaca.org/person/1494
Tarachos	ܛܪܟܘܣ	http://syriaca.org/person/2104
Tarbo	ܬܪܒܘ	http://syriaca.org/person/1495
Tataq the servant	ܛܛܩ ܕܘܡܣܛܝܩܐ	http://syriaca.org/person/1496
Ten Brothers of Qartmin	[Syriac Not Available]	http://syriaca.org/person/1210
Thallelaios	ܬܐܠܐܠܐܘܣ	http://syriaca.org/person/2105
Thecla	ܬܩܠܐ	http://syriaca.org/person/2416
Thecla	[Syriac Not Available]	http://syriaca.org/person/3017
Thecla	ܬܩܠܐ	http://syriaca.org/person/1497
Thedosius	ܬܐܘܕܣܝܐ	http://syriaca.org/person/2112
TheodoraRoman empress	ܡܠܟܬܐ ܬܐܘܕܘܪܐ	http://syriaca.org/person/779
TheodoraRoman empress	ܡܠܟܬܐ ܬܐܘܕܘܪܐ	http://syriaca.org/person/779
Theodore	ܬܐܘܕܘܪܘܣ	http://syriaca.org/person/2110
Theodore	ܬܐܘܕܘܪܐ	http://syriaca.org/person/3140
Theodore	ܬܐܕܘܪܐ	http://syriaca.org/person/2109
Theodore	ܬܐܘܕܘܪܘܣ	http://syriaca.org/person/2107
Theodore	[Syriac Not Available]	http://syriaca.org/person/1498
Theodore Castrensus	ܬܐܕܘܪܐ ܩܣܛܪܝܣܝܣ	http://syriaca.org/person/2108
Theodore of Kashkar	[Syriac Not Available]	http://syriaca.org/person/1499
Theodore of Mopsuestia	ܬܐܕܘܪܘܣ ܕܡܗܦܣܘܣܛܝܐ	http://syriaca.org/person/780
Theodosius	[Syriac Not Available]	http://syriaca.org/person/1500
Theodosiuspatriarch of Alexandria	ܬܐܘܕܘܣܝܘܣ ܕܐܠܟܣܢܕܪܝܐ	http://syriaca.org/person/784
Theodosius II	ܬܐܘܕܘܣܝܘܣ	http://syriaca.org/person/1529
Theodosius of Jerusalem	ܬܐܘܕܘܣܝܘܣ	http://syriaca.org/person/2111
Theodotusof Amid	ܬܐܘܕܘܛܘܣ ܕܐܡܝܕܐ	http://syriaca.org/person/785
Theodule	ܬܐܕܘܠܘܣ	http://syriaca.org/person/2115
Theodulos	ܬܐܕܘܠܘܣ	http://syriaca.org/person/2116
Theodute and his son	ܬܐܕܛܐ	http://syriaca.org/person/2113
Theodute the courtesan	ܬܐܕܛܐ ܙܢܝܬܐ	http://syriaca.org/person/2114
Theon	ܬܐܘܢ	http://syriaca.org/person/2117
Theonas	ܬܐܘܢܝܣ	http://syriaca.org/person/2118
Theonilla	ܬܐܘܢܝܠܐ	http://syriaca.org/person/2119
Theophilius	[Syriac Not Available]	http://syriaca.org/person/2120
Theophilos	ܬܐܘܦܝܠܘܣ	http://syriaca.org/person/2121
Theophilus	ܬܝܘܦܝܠܘܣ	http://syriaca.org/person/3150
Theopompus	ܬܐܘܦܘܢܦܐ	http://syriaca.org/person/2122
Thomas	[Syriac Not Available]	http://syriaca.org/person/1501
Thomas	ܬܐܘܡܐ	http://syriaca.org/person/2127
Thomas	ܬܐܘܡܐ	http://syriaca.org/person/2123
Thomas, bishop of Harran	[Syriac Not Available]	http://syriaca.org/person/1502
Thomas of Damascus	ܬܐܘܡܐ	http://syriaca.org/person/2125
Thomasof Germanicea	ܬܐܘܡܐ ܕܓܪܡܐܢܝܩܝ	http://syriaca.org/person/57
Thomas the Armenian	ܬܐܘܡܐ	http://syriaca.org/person/2126
Thomas the Stylite	[Syriac Not Available]	http://syriaca.org/person/1503
Thuthael	[Syriac Not Available]	http://syriaca.org/person/1504
Thuthael	[Syriac Not Available]	http://syriaca.org/person/1505
Thyrsus	ܬܪܣܘܣ	http://syriaca.org/person/2128
Timirion	ܛܝܡܝܪܝܘܢ	http://syriaca.org/person/2103
Timothy	ܛܝܡܬܐܘܣ	http://syriaca.org/person/2130
Timothy	ܛܝܡܬܐܘܣ	http://syriaca.org/person/2129
Timothy, bishop of Edessa	[Syriac Not Available]	http://syriaca.org/person/1506
Timothy II of Alexandria	[Syriac Not Available]	http://syriaca.org/person/1507
Trypho	ܛܪܝܦܘܢ	http://syriaca.org/person/2131
The Twelve Apostles	[Syriac Not Available]	http://syriaca.org/person/1607
Two Saints Named Alexander	ܬܪܝܢ ܐܠܟܣܢܕܪ̈ܝܐ	http://syriaca.org/person/1675
Two Saints Named Dionysios	ܬܪܝܢ ܕܝܘܢܣ̈ܝܐ	http://syriaca.org/person/1676
Valens the Palestinian	ܘܠܝܣ	http://syriaca.org/person/1702
Valentina	ܘܠܢܛܝܢܐ	http://syriaca.org/person/3029
Vales	ܘܠܣ	http://syriaca.org/person/3146
Victor	ܒܝܩܛܘܪ	http://syriaca.org/person/2135
Victorinus	ܒܝܩܛܘܪܝܢܘܣ	http://syriaca.org/person/2136
Virgin	[Syriac Not Available]	http://syriaca.org/person/2142
Virgin (saccophori)	[Syriac Not Available]	http://syriaca.org/person/2149
virgin of Jerusalem	[Syriac Not Available]	http://syriaca.org/person/2147
Warda	ܘܪܕܐ	http://syriaca.org/person/1508
Xenophon	ܟܣܢܐܦܘܢ	http://syriaca.org/person/2151
YahbalahaI	ܝܗܒܐܠܗܐ ܩܕܡܝܐ	http://syriaca.org/person/809
YahbalahaIII	ܝܗܒܐܠܗܐ ܬܠܝܬܝܐ	http://syriaca.org/person/810
Yareth	ܝܪܬ	http://syriaca.org/person/1509
Yazdanduht of Arbela	[Syriac Not Available]	http://syriaca.org/person/1515
Yazdapnah	ܝܙܝܕܦܢܗ	http://syriaca.org/person/1518
Yazdapnah, bishop of Kashkar	[Syriac Not Available]	http://syriaca.org/person/1516
Yazdbozid	ܝܙܝܕܒܘܙܝܕ	http://syriaca.org/person/1519
Yazdin	[Syriac Not Available]	http://syriaca.org/person/1520
Yozadaq	[Syriac Not Available]	http://syriaca.org/person/1522
Zachaeus	ܙܟܝ	http://syriaca.org/person/2156
Zachariah, the father of John the Baptist	ܙܟܪܝܐ	http://syriaca.org/person/2155
Zacharias	ܙܟܪܝܐ	http://syriaca.org/person/2153
Zacharias the Prophet	ܙܟܐܪܝܐ	http://syriaca.org/person/2154
Zaka	[Syriac Not Available]	http://syriaca.org/person/2157
Zakka	[Syriac Not Available]	http://syriaca.org/person/1523
Zayna	[Syriac Not Available]	http://syriaca.org/person/1526
Zayʿa	ܙܝܥܐ	http://syriaca.org/person/1525
Zebinas	ܙܒܝܢܐ	http://syriaca.org/person/2158
Zena	[Syriac Not Available]	http://syriaca.org/person/2159
Zeʿora	ܙܥܘܪܐ	http://syriaca.org/person/1524
Zosimus	[Syriac Not Available]	http://syriaca.org/person/2160
Zosimus	ܙܘܣܝܡܘܣ	http://syriaca.org/person/2161
Zota	ܙܘܛܐ	http://syriaca.org/person/3011
Zwanarse	[Syriac Not Available]	http://syriaca.org/person/1527
ʾAbn	ܐܒܢ	http://syriaca.org/person/1543
